Data;MediaDiaria;Maxima;Minima;Media
01/05/1959;1;93,02;61,993;71,199
01/06/1959;1;89,363;52,645;61,322
01/07/1959;1;52,645;42,424;47,407
01/08/1959;1;55,703;32,987;44,807
01/09/1959;1;35,6;27,972;32,716
01/10/1959;1;58,819;27,972;40,169
01/11/1959;1;124,032;35,6;66,996
01/12/1959;1;227,572;39,645;87,449
01/01/1960;1;415,355;52,645;132,22
01/02/1960;1;203,021;96,727;146,459
01/03/1960;1;187,576;73,544;102,072
01/04/1960;1;157,98;66,86;96,069
01/05/1960;1;63,601;31,707;50,83
01/06/1960;1;46,711;23,249;34,482
01/07/1960;1;38,28;32,987;35,528
01/08/1960;1;32,987;26,763;29,536
01/09/1960;1;30,444;19,908;25,169
01/10/1960;1;126,07;36,931;59,622
01/11/1960;1;122,005;52,645;89,93
01/12/1960;1;475,4;108,143;210,592
01/01/1961;1;314,203;222,019;263,087
01/02/1961;1;428,236;160,194;255,27
01/03/1961;1;151,402;73,544;96,813
01/04/1961;1;91,185;68,511;75,891
01/05/1961;1;180,592;43,837;80,493
01/06/1961;1;41,026;23,249;32,034
01/07/1961;1;;;47,39
01/08/1961;1;;;38,03
01/09/1961;1;;;30,91
01/10/1961;1;;;52,73
01/11/1961;1;;;95,1
01/12/1961;1;;;80,72
01/01/1962;1;;;308,54
01/02/1962;1;;;184,77
01/03/1962;1;;;246,78
01/04/1962;1;;;90,86
01/05/1962;1;;;85,34
01/06/1962;1;112,045;43,837;61,872
01/07/1962;1;46,711;24,401;35,399
01/08/1962;1;60,399;21,002;29,781
01/09/1962;1;46,711;25,573;36,215
01/10/1962;1;147,07;25,573;83,026
01/11/1962;1;85,757;31,707;50,028
01/12/1962;1;897,867;52,645;226,909
01/01/1963;1;189,924;68,511;99,625
01/02/1963;1;205,693;106,21;138,43
01/03/1963;1;100,484;34,285;69,524
01/04/1963;1;39,645;18,835;26,752
01/05/1963;1;;;60,35
01/06/1963;1;;;51,68
01/07/1963;1;;;48,93
01/08/1963;1;;;42,65
01/09/1963;1;;;37,24
01/10/1963;1;;;43,95
01/11/1963;1;;;70,5
01/12/1963;1;;;55,32
01/01/1964;1;;;113,07
01/02/1964;1;;;185,01
01/03/1964;1;;;128,13
01/04/1964;1;;;165,01
01/05/1964;1;;;61,82
01/06/1964;1;;;43,19
01/07/1964;1;;;40,24
01/08/1964;1;;;33,04
01/09/1964;1;;;27,6
01/10/1964;1;;;54,7
01/11/1964;1;;;70,1
01/12/1964;1;;;147,28
01/01/1965;1;;;151,33
01/02/1965;1;;;174,37
01/03/1965;1;;;306,73
01/04/1965;1;;;133,31
01/05/1965;1;;;75,59
01/06/1965;1;;;59,68
01/07/1965;1;;;49,04
01/08/1965;1;;;42,29
01/09/1965;1;;;31,39
01/10/1965;1;;;65,36
01/11/1965;1;;;79,81
01/12/1965;1;229,354;26,435;92,299
01/01/1966;1;345,084;33,824;131,429
01/02/1966;1;216,013;52,163;93,108
01/03/1966;1;379,54;46,193;140,053
01/04/1966;1;208,136;55,253;91,543
01/05/1966;1;;;90,16
01/06/1966;1;;;72,89
01/07/1966;1;;;47,13
01/08/1966;1;52,163;40,511;45,351
01/09/1966;1;63,278;33,824;41,371
01/10/1966;1;162,959;40,511;73,389
01/11/1966;1;237,484;64,934;125,53
01/12/1966;1;256,814;58,412;135,193
01/01/1967;1;232,054;99,701;162,276
01/02/1967;1;;;151,96
01/03/1967;1;;;117,88
01/04/1967;1;;;102,81
01/05/1967;1;;;123,28
01/06/1967;1;;;67,62
01/07/1967;1;;;53,37
01/08/1967;1;55,253;41,904;51,434
01/09/1967;1;187,609;37,779;106,621
01/10/1967;1;141,842;47,659;82,338
01/11/1967;1;408,525;44,745;179,878
01/12/1967;1;;;254,52
01/01/1968;1;;;159,3
01/02/1968;1;;;169,41
01/03/1968;1;;;215,39
01/04/1968;1;;;73,82
01/05/1968;1;;;73,64
01/06/1968;1;;;44,67
01/07/1968;1;;;38,48
01/08/1968;1;;;39,32
01/09/1968;1;;;29,76
01/10/1968;1;137,863;32,543;61,129
01/11/1968;1;192,675;31,282;64,575
01/12/1968;1;373,195;73,459;152,18
01/01/1969;1;458,369;63,278;134,1
01/02/1969;1;373,195;53,699;140,768
01/03/1969;1;172,682;61,639;101,375
01/04/1969;1;137,863;49,143;70,637
01/05/1969;1;64,934;37,779;47,294
01/06/1969;1;40,511;35,123;39,15
01/07/1969;1;37,779;30,041;33,939
01/08/1969;1;32,543;23,012;27,942
01/09/1969;1;25,274;19,777;22,548
01/10/1969;1;122,648;23,012;45,409
01/11/1969;1;190,136;37,779;77,877
01/12/1969;1;111,999;37,779;65,443
01/01/1970;1;256,814;49,143;101,243
01/02/1970;1;294,008;78,77;159,733
01/03/1970;1;190,136;56,824;112,906
01/04/1970;1;143,839;36,442;79,306
01/05/1970;1;47,659;35,123;42,182
01/06/1970;1;37,779;33,824;35,302
01/07/1970;1;35,123;32,543;34,498
01/08/1970;1;32,543;27,617;30,426
01/09/1970;1;33,824;23,012;29,141
01/10/1970;1;116,215;32,543;50,429
01/11/1970;1;135,893;35,123;51,286
01/12/1970;1;137,863;27,617;45,942
01/01/1971;1;73,459;25,274;40,542
01/02/1971;1;180,094;23,012;47,157
01/03/1971;1;143,839;33,824;63,468
01/04/1971;1;187,609;27,617;49,501
01/05/1971;1;35,123;20,834;25,701
01/06/1971;1;63,278;20,834;24,489
01/07/1971;1;21,913;14,821;17,962
01/08/1971;1;33,824;9,639;15,855
01/09/1971;1;23,012;9,639;15,223
01/10/1971;1;70;18,742;35,828
01/11/1971;1;70;20,834;42,796
01/12/1971;1;329,783;35,123;119,946
01/01/1972;1;216,013;47,659;95,048
01/02/1972;1;190,136;40,511;116,866
01/03/1972;1;195,224;91,799;128,411
01/04/1972;1;103,741;35,123;65,318
01/05/1972;1;84,224;33,824;43,437
01/06/1972;1;60,017;27,617;36,718
01/07/1972;1;60,017;27,617;35,93
01/08/1972;1;30,041;20,834;26,317
01/09/1972;1;35,123;17,728;24,922
01/10/1972;1;242,956;35,123;107,945
01/11/1972;1;187,609;91,799;127,951
01/12/1972;1;192,675;55,253;100,365
01/01/1973;1;256,814;56,824;122,191
01/02/1973;1;213,377;82,39;150,479
01/03/1973;1;240,215;137,863;178,23
01/04/1973;1;190,136;82,39;134,918
01/05/1973;1;84,224;61,639;73,351
01/06/1973;1;76,983;55,253;59,01
01/07/1973;1;64,934;37,779;50,361
01/08/1973;1;44,745;36,442;39,169
01/09/1973;1;52,163;28,819;36,386
01/10/1973;1;139,85;37,779;66,452
01/11/1973;1;141,842;40,511;87,371
01/12/1973;1;395,556;46,193;150,121
01/01/1974;1;418,342;63,278;160,906
01/02/1974;1;213,377;63,278;111,727
01/03/1974;1;332,824;64,934;165,828
01/04/1974;1;167,797;101,713;127,098
01/05/1974;1;131,422;71,721;91,158
01/06/1974;1;87,938;58,412;67,955
01/07/1974;1;60,017;44,745;51,929
01/08/1974;1;64,934;37,779;45,616
01/09/1974;1;37,779;30,041;33,258
01/10/1974;1;187,609;28,819;52,559
01/11/1974;1;133,651;30,041;45,859
01/12/1974;1;389,124;35,123;134,31
01/01/1975;1;259,616;78,682;137,989
01/02/1975;1;182,588;76,863;109,902
01/03/1975;1;147,844;52,146;82,684
01/04/1975;1;338,936;69,655;132,974
01/05/1975;1;124,074;104,781;111,775
01/06/1975;1;108,599;89,726;95,91
01/07/1975;1;137,863;86,02;98,746
01/08/1975;1;;;31,96
01/09/1975;1;;;25,46
01/10/1975;1;143,839;57,317;79,858
01/11/1975;1;279,507;76,863;137,792
01/12/1975;1;254,022;112,438;160,602
01/01/1976;1;208,136;116,297;156,374
01/02/1976;1;471,978;120,176;195,163
01/03/1976;1;314,712;93,456;159,183
01/04/1976;1;216,013;76,863;110,675
01/05/1976;1;91,588;66,092;72,806
01/06/1976;1;76,863;47,272;57,23
01/07/1976;1;76,863;40,445;49,979
01/08/1976;1;60,804;36,531;43,058
01/09/1976;1;137,863;34,001;57,774
01/10/1976;1;129,956;40,445;70,009
01/11/1976;1;177,612;48,743;89,229
01/12/1976;1;285,278;95,33;165,142
01/01/1977;1;366,886;93,456;178,211
