01/08/1958;41,217;30,938;35,835
01/09/1958;52,797;38,523;44,329
01/10/1958;65,646;50,778;58,066
01/11/1958;161,229;67,909;100,368
01/12/1958;302,519;71,367;139,408
01/01/1959;251,898;78,514;146,787
01/02/1959;407,636;52,797;126,321
01/03/1959;126,186;17,156;59,412
01/04/1959;52,797;13,135;25,882
01/05/1959;55,891;9,397;13,655
01/06/1959;23,395;14,563;17,827
01/07/1959;20,644;14,076;16,436
01/08/1959;22,692;19,43;21,441
01/09/1959;28,576;22,692;25,076
01/10/1959;40,31;28,576;32,208
01/11/1959;59,065;31,744;42,596
01/12/1959;120,23;53,82;74,304
01/01/1960;322,651;56,94;143,022
01/02/1960;320,109;41,217;92,728
01/03/1960;380,328;22,692;53,89
01/04/1960;88,517;13,135;29,411
01/05/1960;48,794;12,234;22,582
01/06/1960;20,644;10,96;13,974
01/07/1960;17,156;12,68;14,184
01/08/1960;21,317;16,086;18,362
01/09/1960;34,217;21,317;25,54
01/10/1960;61,224;23,395;31,524
01/11/1960;152,928;27,807;50,067
01/12/1960;89,805;39,412;54,228
01/01/1961;76,098;39,412;50,863
01/02/1961;123,192;40,31;63,492
01/03/1961;242,631;38,523;82,664
01/04/1961;78,514;17,156;38,417
01/05/1961;30,141;14,563;20,129
01/06/1961;82,202;24,828;37,559
01/07/1961;31,744;24,106;27,839
01/08/1961;36,774;31,744;33,213
01/09/1961;42,132;34,217;38,195
01/10/1961;55,891;42,132;46,729
01/11/1961;130,737;56,94;78,942
01/12/1961;263,652;88,517;148,731
01/01/1962;435,605;101,771;243,328
01/02/1962;340,638;47,816;200,144
01/03/1962;96,37;14,076;36,802
01/04/1962;44,934;14,563;21,274
01/05/1962;30,141;15,568;19,198
01/06/1962;73,716;18,845;29,065
01/07/1962;27,048;20,027;23,86
01/08/1962;37,644;27,048;31,779
01/09/1962;43,057;35,912;39,611
01/10/1962;63,417;42,132;48,344
01/11/1962;88,517;52,797;70,2
01/12/1962;407,636;89,805;157,947
01/01/1963;496,44;52,797;115,9
01/02/1963;193,909;66,773;109,442
01/03/1963;168,012;45,886;91,363
01/04/1963;130,737;22;52,068
01/05/1963;120,23;18,845;37,231
01/06/1963;22,692;17,156;19,013
01/07/1963;61,224;22,692;30,722
01/08/1963;34,217;25,558;30,298
01/09/1963;65,646;35,06;41,758
01/10/1963;84,703;42,132;55,008
01/11/1963;178,42;49,782;74,055
01/12/1963;1059,808;61,224;161,043
01/01/1964;217,788;70,206;119,015
01/02/1964;121,707;40,31;72,118
01/03/1964;176,665;39,412;74,375
01/04/1964;129,212;19,587;52,424
01/05/1964;108,336;18,393;35,024
01/06/1964;41,342;19,587;23,6
01/07/1964;29,384;22,692;26,47
01/08/1964;38,988;29,384;33,88
01/09/1964;117,627;36,685;54,21
01/10/1964;52,11;35,178;39,536
01/11/1964;105,31;42,939;53,158
01/12/1964;152,575;48,701;81,885
01/01/1965;117,627;60,63;83,408
01/02/1965;325,222;52,976;140,835
01/03/1965;149,087;33,694;54,695
01/04/1965;109,863;18,393;39,315
01/05/1965;25,293;17,806;20,705
01/06/1965;42,138;19,587;28,48
01/07/1965;27,31;19,587;23,49
01/08/1965;38,988;24,633;29,151
01/09/1965;38,988;28,687;32,249
01/10/1965;58,276;35,928;40,362
01/11/1965;77,023;39,767;51,666
01/12/1965;132,146;58,252;81,537
01/01/1966;222,962;46,96;79,065
01/02/1966;183,553;41,695;89,013
01/03/1966;92,131;25,572;48,539
01/04/1966;54,76;21,16;28,038
01/05/1966;49,139;21,692;29,543
01/06/1966;27,318;22,229;24,487
01/07/1966;34,762;25,572;29,971
01/08/1966;48,044;34,762;41,097
01/09/1966;55,914;48,044;51,196
01/10/1966;168,682;57,078;76,392
01/11/1966;548,049;67,995;104,771
01/12/1966;152,575;87,9;115,099
